Title,ReleaseDate,Overview,VoteAverage,VoteCount,OriginalLanguage,Genres,Runtime,Tagline,Budget,Revenue,ProductionCompanies,ProductionCountries,SpokenLanguages,IMDBId
Eyes Without a Face,1960-01-11,"Dr. Génessier is riddled with guilt after an accident that he caused disfigures the face of his daughter, the once beautiful Christiane, who outsiders believe is dead. Dr. Génessier, along with accomplice and laboratory assistant Louise, kidnaps young women and brings them to the Génessier mansion. After rendering his victims unconscious, Dr. Génessier removes their faces and attempts to graft them on to Christiane's.",7.589,689,fr,Drama;Horror;Thriller,84,Beautiful women were the victims of his fiendish facials.,0,58656,Lux Film;Champs-Élysées Productions,France;Italy,Français,tt0053459
Cash McCall,1960-01-20,"Wealthy hotshot Cash McCall makes his money by purchasing unsuccessful businesses, whipping them into shape and then selling them for a huge profit. When Cash comes across Austen Plastics, a small manufacturing corporation on its last legs, he realizes it might be a gamble to buy the company. But when Cash finds out that the company's owner is the father of his old flame, Lory, he buys the business just to get a second chance at romance.",6,13,en,Comedy;Drama;Romance,102,High finance and high romance are about to merge.,0,0,Warner Bros. Pictures,United States of America,English,tt0052680
Toby Tyler or Ten Weeks with a Circus,1960-01-21,"Angered at stern Uncle Daniel, Toby Tyler runs away from his foster home to join the circus, where he soon befriends Mr. Stubbs, the frisky chimpanzee. However, the circus isn't all fun and games when the evil candy vendor, Harry Tupper, convinces Toby that his Aunt Olive and Uncle Daniel don't love him or want him back. Toby resigns himself to circus life, but when he finally realizes that Tupper lied to him, and that his aunt and uncle truly love him, Toby happily returns home once again.",6.1,24,en,Drama;Family,95,Here comes...the HAPPIEST SHOW ON EARTH!,0,0,Walt Disney Productions,United States of America,English,tt0054390
Hell Bent for Leather,1960-02-01,"When Clay Santell stops in the town of Sutterville after having his horse stolen, he is mistaken by townspeople for a murderer named Travers. The townspeople capture Santell, and turn him over to lawman Harry Deckett. Deckett, who is tired of chasing the real Travers, decides to kill Santell and pass him off as Travers. Santell escapes from Deckett, taking lovely Janet Gifford hostage in the process. Janet comes to believe Santell's story, and helps him in his struggle to prove his real identity.",6.155,29,en,Western,82,Target For Terror!,0,0,Universal International Pictures,United States of America,English,tt0053899
The Rise and Fall of Legs Diamond,1960-02-03,"Jack Diamond and his sickly brother arrive in prohibition New York as jewelry thieves. After a spell in jail, the coldly ambitious Diamond hits on the idea of stealing from thieves himself and sets about getting close to gangster boss Arnold Rothstein to move in on his booze, girls, gambling, and drugs operations.",5.8,19,en,Crime;History,101,The Wildest Mobster of the Roaring Twenties!,0,0,United States Pictures,United States of America,Français;English;Italiano;Deutsch,tt0054243
Visit to a Small Planet,1960-02-04,"The weirdest alien of the galaxy pays a visit to Earth...  Jerry Lewis is Kreton, a childish alien who, against his teacher's will leaves his planet to visit the Earth, and lands in the backyard of a famous television journalist who doesn't believe in UFOs and aliens. Wanting to study humans but not able to fully understand them, Kreton makes a mess out of it, generating a lot of comic situations.",5.3,29,en,Comedy;Science Fiction;Family,85,The space race is on and Jerry's leading it... In reverse!,0,0,Paramount Pictures;Hal Wallis Productions,United States of America,English,tt0054446
La Dolce Vita,1960-02-05,"Episodic journey of journalist Marcello who struggles to find his place in the world, torn between the allure of Rome's elite social scene and the stifling domesticity offered by his girlfriend, all the while searching for a way to become a serious writer.",8.096,1795,it,Comedy;Drama,176,The world’s most talked about movie today!,0,19647000,Cinecittà Studios;Pathé Consortium Cinéma;Riama Film,France;Italy,Deutsch;English;Français;Italiano,tt0053779
The Virgin Spring,1960-02-08,"Devout Christians Töre and Märeta send their only daughter, the virginal Karin, and their foster daughter, the unrepentant Ingeri, to deliver candles to a distant church. On their way through the woods, the girls encounter a group of savage goat herders who brutally rape and murder Karin as Ingeri remains hidden. When the killers unwittingly seek refuge in the farmhouse of Töre and Märeta, Töre plots a fitting revenge.",7.827,594,sv,Drama;History,90,Ravished innocence... brings terrible revenge!,0,700000,SF Studios,Sweden,Deutsch;svenska,tt0053976
"Once More, with Feeling!",1960-02-11,"The wife of brilliant, but boisterous and ill-tempered conductor of the London Symphony puts up with his childishness, but the last straw is drawn when he begins an affair with a young pianist.",5.8,5,en,Comedy;Drama;Romance,92,,0,0,Stanley Donen Films;Columbia Pictures,United States of America,English;Français,tt0054141
The Hypnotic Eye,1960-02-17,"A mysterious hypnotist is suspected by the police of being responsible for a wave of young, attractive women committing various forms of self-mutilation.",5.955,22,en,Horror,79,Beware his hypnotic power that turns human flesh into helpless robots!,365000,0,Bloch/Woodfield Productions;Penguin Productions;Allied Artists Pictures,United States of America,English,tt0053931
